time,longitude,latitude,tp,u10,v10,r,t2m,fwi
1979-02-21 12:00:00,18.25,40.5,0.006750224,-2.3164208,-0.08001634,80.06699,283.5914,1.9979058e-09
1979-02-22 12:00:00,18.25,40.5,0.007669256,-1.2354015,0.5208785,84.717255,281.87918,0.003906252
1979-02-23 12:00:00,18.25,40.5,0.0024945661,0.4016604,-2.1181662,52.89931,281.00778,0.20141602
1979-02-24 12:00:00,18.25,40.5,0.000701325,-2.5266616,0.8756694,57.37958,281.5423,0.5073242
1979-02-25 12:00:00,18.25,40.5,0.0005874559,-1.6005,-1.1688236,53.69295,281.94083,0.72424316
1979-02-26 12:00:00,18.25,40.5,0.00027832016,-0.035117786,-3.602417,51.50646,282.1868,1.5289307
1979-02-27 12:00:00,18.25,40.5,0.0004948331,0.887523,-1.8889031,62.131607,280.44415,3.777588
1979-02-28 12:00:00,18.25,40.5,0.0145082995,0.9525338,1.3698615,71.98644,280.6809,0.011718752
1979-03-01 12:00:00,18.25,40.5,6.3763e-06,-2.2304971,-0.8668836,64.4086,281.41592,0.25756836
1979-03-02 12:00:00,18.25,40.5,0.002513836,-2.5356133,2.6142747,77.96518,285.21432,0.5239258
1979-03-03 12:00:00,18.25,40.5,0.009311225,-2.6350343,5.3599687,87.7396,286.43002,0.035644535
1979-03-04 12:00:00,18.25,40.5,0.0011590528,-1.7045792,1.5968915,88.96499,285.3525,0.09375
1979-03-05 12:00:00,18.25,40.5,8.782884e-05,0.40268764,-4.373522,76.50075,285.74002,0.72424316
1979-03-06 12:00:00,18.25,40.5,5.5879354e-09,1.1130279,-5.069711,78.847755,287.09494,1.1425781
1979-03-07 12:00:00,18.25,40.5,4.596077e-07,1.0265732,-2.624961,71.80393,285.18427,0.86901855
1979-03-08 12:00:00,18.25,40.5,3.4295255e-05,0.4162608,0.12988108,67.64196,284.52274,1.3297119
1979-03-09 12:00:00,18.25,40.5,0.0010533829,1.9290404,-0.53935426,74.83695,286.65396,1.262207
1979-03-10 12:00:00,18.25,40.5,0.0005193171,2.1651194,-0.65051585,70.500465,284.14417,2.7625732
1979-03-11 12:00:00,18.25,40.5,0.009189386,1.2833008,0.92495203,77.31797,286.243,0.11608887
1979-03-12 12:00:00,18.25,40.5,0.0001029789,-0.15606616,0.12929368,77.24856,284.9005,0.41796875
1979-03-13 12:00:00,18.25,40.5,0.0001669412,-0.86751074,2.8614502,81.706825,287.6178,0.69555664
1979-03-14 12:00:00,18.25,40.5,0.00039098994,-1.272901,3.2941902,84.23937,287.30643,3.1446533
1979-03-15 12:00:00,18.25,40.5,0.00021619769,-1.6479992,6.704701,81.746284,288.26694,8.029907
1979-03-16 12:00:00,18.25,40.5,0.007863047,-4.7767487,8.619492,79.558685,288.81735,3.0946045
1979-03-17 12:00:00,18.25,40.5,0.009733178,3.7647352,2.5359554,67.86053,285.9298,0.07897949
1979-03-18 12:00:00,18.25,40.5,0.00019357656,-0.029596886,4.3190556,67.548584,286.84393,1.1695557
1979-03-19 12:00:00,18.25,40.5,0.00078637316,-1.2912081,6.581173,78.421936,288.15576,2.5845947
1979-03-20 12:00:00,18.25,40.5,0.00037484244,-0.88514733,3.9013813,86.38339,287.9296,2.6462402
1979-03-21 12:00:00,18.25,40.5,0.0002741348,-0.03966832,3.5726426,84.03701,288.4766,1.4799805
1979-03-22 12:00:00,18.25,40.5,2.7939677e-09,-0.45272502,2.4388645,60.068836,287.4152,6.787964
1979-03-23 12:00:00,18.25,40.5,0.0003251005,2.347306,1.1203713,65.9263,287.72348,4.626709
1979-03-24 12:00:00,18.25,40.5,0.00031132996,-0.3366519,-1.3128177,70.28781,286.39627,3.4796143
1979-03-25 12:00:00,18.25,40.5,0.0006195472,1.5038384,-3.3665924,72.732216,286.96463,6.345581
1979-03-26 12:00:00,18.25,40.5,7.240148e-05,0.20740037,0.8691676,67.78374,287.49362,8.745972
1979-03-27 12:00:00,18.25,40.5,0.0008557681,-1.5481205,6.831857,82.9015,289.5296,7.8221436
1979-03-28 12:00:00,18.25,40.5,0.0012154002,-1.7251054,6.4703383,84.67941,289.70837,2.6451416
1979-03-29 12:00:00,18.25,40.5,5.5204146e-05,1.8494638,4.568753,64.41379,288.56934,10.222168
1979-03-30 12:00:00,18.25,40.5,0.00063311565,3.427276,3.634654,55.75551,286.6047,11.164917
1979-03-31 12:00:00,18.25,40.5,0.0004996499,2.6148927,2.2680767,56.804882,285.3961,5.755127
1979-04-01 12:00:00,18.25,40.5,0.0023656674,0.043314617,2.6080759,70.187355,286.63562,0.8664551
1979-04-02 12:00:00,18.25,40.5,0.003399865,0.5736194,-2.5998764,76.973625,285.43378,1.7332764
1979-04-03 12:00:00,18.25,40.5,0.00013594003,4.408891,-8.006684,61.18393,287.0568,12.071899
1979-04-04 12:00:00,18.25,40.5,6.9036614e-05,2.8826044,0.3269817,60.69049,286.58768,9.653198
1979-04-05 12:00:00,18.25,40.5,8.057733e-05,3.1709213,5.028152,58.98921,289.20462,13.87439
1979-04-06 12:00:00,18.25,40.5,0.004763164,1.2136804,5.3896995,74.140564,289.5555,0.9597168
1979-04-07 12:00:00,18.25,40.5,0.00060896156,3.0457032,2.0662382,60.09029,286.8063,9.126099
1979-04-08 12:00:00,18.25,40.5,0.0010414382,4.3526106,-1.0544823,60.20415,284.86752,5.430298
1979-04-09 12:00:00,18.25,40.5,0.0002017538,0.9326361,-2.0328,60.39845,285.39914,6.020508
1979-04-10 12:00:00,18.25,40.5,2.7939677e-09,-0.6372292,-1.2426652,58.281643,285.647,5.248535
1979-04-11 12:00:00,18.25,40.5,0.0,-1.29384,0.6315554,64.10458,286.65097,7.1593018
1979-04-12 12:00:00,18.25,40.5,3.0532945e-05,-0.5106824,1.9012545,73.84464,288.16095,5.2974854
1979-04-13 12:00:00,18.25,40.5,0.00012006564,1.0388904,-2.1988878,75.8657,288.51303,8.871216
1979-04-14 12:00:00,18.25,40.5,1.3363548e-05,0.5490003,-1.6034244,61.69809,287.26328,7.24292
